Month,ProductID,RetailPartner,AdjustedQty,InventoryQty,CompanyTransportCapacity,CompanyWarehouseCapacity,Description,RequestedQtyPct,InventoryUtilizationPct,AllocationFlag,AllocatedQty
2025-05-01,P0001,RetailPartner1,55,295,900,400,Product 1 description,35.947712418300654,51.86440677966102,1,55
2025-06-01,P0001,RetailPartner1,61,242,500,300,Product 1 description,40.666666666666664,61.98347107438016,1,61
2025-07-01,P0001,RetailPartner1,27,216,450,120,Product 1 description,34.61538461538461,36.111111111111114,1,27
2025-08-01,P0001,RetailPartner1,126,155,720,200,Product 1 description,36.8421052631579,220.6451612903226,1,57
2025-09-01,P0001,RetailPartner1,5,108,100,50,Product 1 description,29.41176470588235,15.74074074074074,1,5
2025-10-01,P0001,RetailPartner1,-6,94,100,10,Product 1 description,26.08695652173913,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner1,5,99,100,10,Product 1 description,23.80952380952381,21.21212121212121,1,3
2025-12-01,P0001,RetailPartner1,16,117,200,100,Product 1 description,43.24324324324324,31.623931623931625,1,16
2025-05-01,P0001,RetailPartner2,70,295,900,400,Product 1 description,45.751633986928105,51.86440677966102,1,70
2025-06-01,P0001,RetailPartner2,66,242,500,250,Product 1 description,44.0,61.98347107438016,1,66
2025-07-01,P0001,RetailPartner2,31,216,450,160,Product 1 description,39.743589743589745,36.111111111111114,1,31
2025-08-01,P0001,RetailPartner2,116,155,720,190,Product 1 description,33.91812865497076,220.6451612903226,1,52
2025-09-01,P0001,RetailPartner2,5,108,100,20,Product 1 description,29.41176470588235,15.74074074074074,1,5
2025-10-01,P0001,RetailPartner2,-9,94,100,10,Product 1 description,39.130434782608695,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner2,4,99,100,10,Product 1 description,19.047619047619047,21.21212121212121,1,0
2025-12-01,P0001,RetailPartner2,15,117,200,100,Product 1 description,40.54054054054054,31.623931623931625,1,15
2025-05-01,P0001,RetailPartner3,15,295,900,100,Product 1 description,9.803921568627452,51.86440677966102,1,15
2025-06-01,P0001,RetailPartner3,13,242,500,50,Product 1 description,8.666666666666666,61.98347107438016,1,13
2025-07-01,P0001,RetailPartner3,11,216,450,30,Product 1 description,14.102564102564102,36.111111111111114,1,11
2025-08-01,P0001,RetailPartner3,50,155,720,170,Product 1 description,14.619883040935672,220.6451612903226,1,0
2025-09-01,P0001,RetailPartner3,7,108,100,20,Product 1 description,41.1764705882353,15.74074074074074,1,7
2025-10-01,P0001,RetailPartner3,0,94,100,20,Product 1 description,-0.0,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner3,10,99,100,20,Product 1 description,47.61904761904762,21.21212121212121,1,10
2025-12-01,P0001,RetailPartner3,0,117,200,20,Product 1 description,0.0,31.623931623931625,0,0
2025-05-01,P0001,RetailPartner4,13,295,900,50,Product 1 description,8.49673202614379,51.86440677966102,1,13
2025-06-01,P0001,RetailPartner4,10,242,500,70,Product 1 description,6.666666666666667,61.98347107438016,1,10
2025-07-01,P0001,RetailPartner4,9,216,450,40,Product 1 description,11.538461538461538,36.111111111111114,1,9
2025-08-01,P0001,RetailPartner4,50,155,720,170,Product 1 description,14.619883040935672,220.6451612903226,1,0
2025-09-01,P0001,RetailPartner4,0,108,100,20,Product 1 description,0.0,15.74074074074074,0,0
2025-10-01,P0001,RetailPartner4,-8,94,100,20,Product 1 description,34.78260869565217,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner4,2,99,100,20,Product 1 description,9.523809523809524,21.21212121212121,1,2
2025-12-01,P0001,RetailPartner4,6,117,200,30,Product 1 description,16.216216216216218,31.623931623931625,1,6
2025-05-01,P0002,RetailPartner1,163,277,900,400,Product 2 description,47.66081871345029,123.46570397111914,1,132
2025-06-01,P0002,RetailPartner1,51,243,500,300,Product 2 description,37.77777777777778,55.55555555555556,1,51
