Month,ProductID,RetailPartner,AdjustedQty,InventoryQty,CompanyTransportCapacity,CompanyWarehouseCapacity,Description,PackSize,RequestedQtyPct,InventoryUtilizationPct,ProportionalAllocation,AllocationFlag
2025-05-01,P0001,RetailPartner1,55,295,900,400,Product 1 description,20,35.947712418300654,51.86440677966102,1.9281045751633987,1
2025-06-01,P0001,RetailPartner1,61,242,500,300,Product 1 description,20,40.666666666666664,61.98347107438016,1.6133333333333333,1
2025-07-01,P0001,RetailPartner1,27,216,450,120,Product 1 description,20,34.61538461538461,36.111111111111114,2.769230769230769,1
2025-08-01,P0001,RetailPartner1,126,155,720,200,Product 1 description,20,36.8421052631579,220.6451612903226,0.45321637426900585,1
2025-09-01,P0001,RetailPartner1,5,108,100,50,Product 1 description,20,29.41176470588235,15.74074074074074,6.352941176470588,1
2025-10-01,P0001,RetailPartner1,-6,94,100,10,Product 1 description,20,26.08695652173913,-24.46808510638298,-4.086956521739131,0
2025-11-01,P0001,RetailPartner1,5,99,100,10,Product 1 description,20,23.80952380952381,21.21212121212121,4.714285714285714,1
2025-12-01,P0001,RetailPartner1,16,117,200,100,Product 1 description,20,43.24324324324324,31.623931623931625,3.1621621621621623,1
2025-05-01,P0001,RetailPartner2,70,295,900,400,Product 1 description,20,45.751633986928105,51.86440677966102,1.9281045751633987,1
2025-06-01,P0001,RetailPartner2,66,242,500,250,Product 1 description,20,44.0,61.98347107438016,1.6133333333333333,1
2025-07-01,P0001,RetailPartner2,31,216,450,160,Product 1 description,20,39.743589743589745,36.111111111111114,2.769230769230769,1
2025-08-01,P0001,RetailPartner2,116,155,720,190,Product 1 description,20,33.91812865497076,220.6451612903226,0.45321637426900585,1
2025-09-01,P0001,RetailPartner2,5,108,100,20,Product 1 description,20,29.41176470588235,15.74074074074074,6.352941176470588,1
2025-10-01,P0001,RetailPartner2,-9,94,100,10,Product 1 description,20,39.130434782608695,-24.46808510638298,-4.086956521739131,0
2025-11-01,P0001,RetailPartner2,4,99,100,10,Product 1 description,20,19.047619047619047,21.21212121212121,4.714285714285714,1
2025-12-01,P0001,RetailPartner2,15,117,200,100,Product 1 description,20,40.54054054054054,31.623931623931625,3.1621621621621623,1
2025-05-01,P0001,RetailPartner3,15,295,900,100,Product 1 description,20,9.803921568627452,51.86440677966102,1.9281045751633987,1
2025-06-01,P0001,RetailPartner3,13,242,500,50,Product 1 description,20,8.666666666666666,61.98347107438016,1.6133333333333333,1
2025-07-01,P0001,RetailPartner3,11,216,450,30,Product 1 description,20,14.102564102564102,36.111111111111114,2.769230769230769,1
2025-08-01,P0001,RetailPartner3,50,155,720,170,Product 1 description,20,14.619883040935672,220.6451612903226,0.45321637426900585,1
2025-09-01,P0001,RetailPartner3,7,108,100,20,Product 1 description,20,41.1764705882353,15.74074074074074,6.352941176470588,1
2025-10-01,P0001,RetailPartner3,0,94,100,20,Product 1 description,20,-0.0,-24.46808510638298,-4.086956521739131,0
2025-11-01,P0001,RetailPartner3,10,99,100,20,Product 1 description,20,47.61904761904762,21.21212121212121,4.714285714285714,1
2025-12-01,P0001,RetailPartner3,0,117,200,20,Product 1 description,20,0.0,31.623931623931625,3.1621621621621623,0
2025-05-01,P0001,RetailPartner4,13,295,900,50,Product 1 description,20,8.49673202614379,51.86440677966102,1.9281045751633987,1
2025-06-01,P0001,RetailPartner4,10,242,500,70,Product 1 description,20,6.666666666666667,61.98347107438016,1.6133333333333333,1
2025-07-01,P0001,RetailPartner4,9,216,450,40,Product 1 description,20,11.538461538461538,36.111111111111114,2.769230769230769,1
2025-08-01,P0001,RetailPartner4,50,155,720,170,Product 1 description,20,14.619883040935672,220.6451612903226,0.45321637426900585,1
2025-09-01,P0001,RetailPartner4,0,108,100,20,Product 1 description,20,0.0,15.74074074074074,6.352941176470588,0
2025-10-01,P0001,RetailPartner4,-8,94,100,20,Product 1 description,20,34.78260869565217,-24.46808510638298,-4.086956521739131,0
2025-11-01,P0001,RetailPartner4,2,99,100,20,Product 1 description,20,9.523809523809524,21.21212121212121,4.714285714285714,1
